,V1,V2,V3,V4,V5,V6
BTC,1.0183,0.3503,0.64849999999999997,0.66800000000000104,0.4214,-0.107185628742516
,0.90269999999999895,0.23730000000000001,0.67710000000000004,0.66539999999999899,0.38940000000000002,0.32191163210099299
,0.93140000000000001,0.31640000000000001,0.6754,0.61499999999999999,0.34350000000000003,0.167479674796748
ETH,0.78839999999999999,0.41699999999999998,0.59009999999999996,0.37140000000000001,0.21690000000000001,-0.067851373182552799
,0.75560000000000005,0.31890000000000002,0.62839999999999996,0.43669999999999998,0.2387,0.41744904969086399
,0.81499999999999995,0.32879999999999998,0.65510000000000002,0.48620000000000002,0.28370000000000001,0.34224598930481298
BNB,0.78979999999999995,0.045500000000000103,0.55640000000000001,0.74429999999999996,0.39960000000000001,0.372833534864974
,0.65959999999999996,0.26229999999999998,0.54979999999999996,0.39729999999999999,0.21490000000000001,0.44726906619682699
,0.64490000000000003,0.40670000000000001,0.63870000000000005,0.2382,0.12330000000000001,0.94794290512174495
XRP,0.85399999999999998,0.30709999999999998,0.63239999999999996,0.54690000000000005,0.32490000000000002,0.18961418906564301
,0.85559999999999903,0.11409999999999999,0.66669999999999996,0.74150000000000005,0.45319999999999999,0.49049224544841702
,1.0232000000000001,0.37040000000000001,0.77929999999999999,0.65280000000000005,0.43409999999999999,0.25275735294117602
ADA,0.71479999999999999,0.54949999999999999,0.59960000000000002,0.1653,0.0875999999999999,-0.393829401088928
,0.67759999999999998,0.4587,0.62809999999999999,0.21890000000000001,0.11899999999999999,0.54773869346733595
,0.9577,0.4572,0.74319999999999997,0.50049999999999994,0.29920000000000002,0.14285714285714299
DOGE,0.89259999999999995,0.2994,0.72099999999999997,0.59319999999999995,0.36969999999999997,0.421443020903573
,0.94309999999999905,0.051999999999999998,0.71719999999999995,0.891099999999999,0.5857,0.49298619683537298
,1.2025999999999999,0.16769999999999999,0.81779999999999997,1.0348999999999999,0.69410000000000005,0.25635327084742499
TRX,0.88280000000000003,0.12180000000000001,0.62270000000000003,0.76100000000000001,0.42920000000000003,0.316425755584756
,0.76239999999999997,0.32450000000000001,0.60970000000000002,0.43790000000000001,0.26869999999999999,0.30258049783055602
,0.84369999999999901,0.41010000000000002,0.67549999999999999,0.43359999999999899,0.27760000000000001,0.22416974169741899
LTC,0.70669999999999999,0.3513,0.52470000000000006,0.35539999999999999,0.20449999999999999,-0.0241980866629142
,0.76790000000000003,0.40510000000000002,0.56679999999999997,0.36280000000000001,0.2104,-0.108599779492833
,0.84560000000000002,0.35070000000000001,0.6169,0.49490000000000001,0.29630000000000001,0.075772883410789402
BTCH,0.73999999999999999,0.3322,0.61199999999999999,0.4078,0.2185,0.37224129475232898
,0.70299999999999996,0.3584,0.61480000000000001,0.34460000000000002,0.1865,0.48810214741729602
,0.70299999999999996,0.311,0.60160000000000002,0.39200000000000002,0.23089999999999999,0.48265306122448798
LINK,0.82420000000000004,0.32429999999999998,0.64229999999999998,0.49990000000000001,0.30159999999999998,0.27225445089017802
,0.88390000000000002,0.32500000000000001,0.71120000000000005,0.55889999999999995,0.33360000000000001,0.38200035784576902
,0.82999999999999996,0.3281,0.65169999999999995,0.50190000000000001,0.29039999999999999,0.28949990037856099
XLM,0.79059999999999997,0.372,0.61519999999999997,0.41860000000000003,0.25330000000000003,0.161968466316291
,0.78100000000000003,0.22109999999999999,0.6522,0.55989999999999995,0.32529999999999998,0.53991784247187002
,0.80649999999999999,0.17050000000000001,0.6825,0.63600000000000001,0.3906,0.61006289308176198
ETC,0.76259999999999994,0.27500000000000002,0.58399999999999996,0.48759999999999998,0.29380000000000001,0.26743232157506203
,0.74670000000000003,0.60060000000000002,0.62709999999999999,0.14610000000000001,0.064399999999999999,-0.63723477070499701
,0.70740000000000003,0.31769999999999998,0.63139999999999996,0.38969999999999999,0.2034,0.609956376700026
XRM,0.72989999999999999,0.34749999999999998,0.53820000000000001,0.38240000000000002,0.23000000000000001,-0.0026150627615065701
,0.68599999999999905,0.34179999999999999,0.53500000000000003,0.34420000000000001,0.1744,0.122603137710636
,0.63690000000000002,0.3039,0.57399999999999995,0.33300000000000002,0.17730000000000001,0.62222222222222001
FIL,0.48580000000000001,0.31730000000000003,0.43209999999999998,0.16850000000000001,0.090499999999999997,0.36261127596439202
,0.92100000000000004,0.071100000000000094,0.47789999999999999,0.84989999999999999,0.53220000000000001,-0.042710907165549303
,0.99530000000000096,0.34510000000000002,0.64549999999999996,0.650200000000001,0.4138,-0.075976622577669906
MANA,0.59660000000000002,0.1714,0.48749999999999999,0.42520000000000002,0.23649999999999999,0.48682972718720602
,0.60140000000000005,0.27850000000000003,0.55020000000000002,0.32290000000000002,0.16209999999999999,0.68287395478476098
,0.96189999999999998,0.16900000000000001,0.72430000000000005,0.79290000000000005,0.49109999999999998,0.40068104426787698
EOS,0.80779999999999996,0.4965,0.58069999999999999,0.31130000000000002,0.17299999999999999,-0.45904272406039298
,0.75700000000000001,0.3851,0.57140000000000002,0.37190000000000001,0.218,0.00188222640494915
,0.7843,0.25590000000000002,0.60060000000000002,0.52839999999999998,0.31840000000000002,0.30469341408024198
KCS,0.86280000000000001,0.096500000000000294,0.6865,0.76629999999999998,0.43509999999999999,0.539866892861803
,1.0065999999999999,0.54959999999999998,0.74029999999999996,0.45699999999999902,0.28270000000000001,-0.16542669584245101
,0.9879,0.35809999999999997,0.73540000000000005,0.62980000000000003,0.41649999999999998,0.19815814544299801
ZEC,0.77110000000000001,0.3926,0.59419999999999995,0.3785,0.22969999999999999,0.065257595772787197
,0.73160000000000003,0.49130000000000001,0.62119999999999997,0.24030000000000001,0.12180000000000001,0.081148564294631007
,0.74329999999999996,0.38900000000000001,0.58999999999999997,0.3543,0.20519999999999999,0.134631668077899
WAVES,0.71740000000000004,0.32869999999999999,0.57450000000000001,0.38869999999999999,0.2213,0.264728582454335
,0.65649999999999997,0.28000000000000003,0.53159999999999996,0.3765,0.2094,0.336520584329349
,1.0134000000000001,0.29470000000000002,0.71060000000000001,0.71870000000000001,0.45079999999999998,0.15736746904132401
